"Term base ID","Term ID","Content ID","Project ID","Project title","Segment ID",Language,text,Forbidden,Preferred,"Exact match","Case sensitive",Status,Comment,"Created by","Last modified by","Created at","Updated at"
1291,1239681,359543,,,,Arabic,"Welcome to the HTML Document Template",False,False,False,False,Approved,,"Naser PM",,"2024-12-17 12:29:36","2025-04-28 00:00:00"
1291,1239681,359544,,,,English,"مرحبًا بك في نموذج",False,False,False,False,Approved,,"Naser PM",,"2024-12-17 12:29:36","2025-04-28 00:00:00"
1291,1239682,359545,,,,Arabic,"Introduction paragram",False,False,False,False,Approved,,"Naser PM",,"2024-12-17 12:29:36","2025-04-28 00:00:00"
1291,1239683,359548,,,,English,"هذه الوثيقة تحتوي على مجموعة متنوعة من العناصر النصية",False,False,False,False,Approved,,"Naser PM",,"2024-12-17 12:29:36","2025-04-28 00:00:00"
1291,1239684,359549,,,,Arabic,"Each section provides a different type of text commonly found in web documents",False,False,False,False,Approved,,"Naser PM",,"2024-12-17 12:29:36","2025-04-28 00:00:00"
1291,1239684,359550,,,,English,"يوفر كل قسم نوعًا مختلفًا من النص الموجود",False,False,False,False,Approved,,"Naser PM",,"2024-12-17 12:29:36","2025-04-28 00:00:00"
1291,1239685,359551,,,,Arabic,"About Us section",False,False,False,False,Approved,,"Naser PM",,"2024-12-17 12:29:36","2025-04-28 00:00:00"
1291,1239685,359552,,,,English,"معلومات عنا",False,False,False,False,Approved,,"Naser PM",,"2024-12-17 12:29:36","2025-04-28 00:00:00"
1291,1239686,359553,,,,Arabic,"We are an industry leader committed to providing quality products and exceptional customer service",False,False,False,False,Approved,,"Naser PM",,"2024-12-17 12:29:36","2025-04-28 00:00:00"
1291,1239686,359554,,,,English,"نحن شركة رائدة في الصناعة",False,False,False,False,Approved,,"Naser PM",,"2024-12-17 12:29:36","2025-04-28 00:00:00"
1291,1239687,359555,,,,Arabic,"Our team of experts works tirelessly to innovate and refine our offerings",False,False,False,False,Approved,,"Naser PM",,"2024-12-17 12:29:36","2025-04-28 00:00:00"
1291,1239687,359556,,,,English,"يعمل فريق الخبراء لدينا بلا كلل",False,False,False,False,Approved,,"Naser PM",,"2024-12-17 12:29:36","2025-04-28 00:00:00"
1291,1239688,359557,,,,Arabic,"Our Mission Subsection",False,False,False,False,Approved,,"Naser PM",,"2024-12-17 12:29:36","2025-04-28 00:00:00"
1291,1239688,359558,,,,English,مهمتنا,False,False,False,False,Approved,,"Naser PM",,"2024-12-17 12:29:36","2025-04-28 00:00:00"
1291,1239689,359559,,,,Arabic,"Our mission is to make a positive impact on the world by providing sustainable and effective solutions",False,False,False,False,Approved,,"Naser PM",,"2024-12-17 12:29:36","2025-04-28 00:00:00"
1291,1239689,359560,,,,English,"مهمتنا هي إحداث تأثير إيجابي",False,False,False,False,Approved,,"Naser PM",,"2024-12-17 12:29:36","2025-04-28 00:00:00"
1291,1239690,359561,,,,Arabic,"We strive to exceed our customers' expectations and contribute to a better future for all",False,False,False,False,Approved,,"Naser PM",,"2024-12-17 12:29:36","2025-04-28 00:00:00"
1291,1239690,359562,,,,English,"نحن نسعى جاهدين لتجاوز توقعات عملائنا",False,False,False,False,Approved,,"Naser PM",,"2024-12-17 12:29:36","2025-04-28 00:00:00"
1291,1239691,359563,,,,Arabic,"Our Values subsection with a list",False,False,False,False,Approved,,"Naser PM",,"2024-12-17 12:29:36","2025-04-28 00:00:00"
1291,1239691,359564,,,,English,قيمنا,False,False,False,False,Approved,,"Naser PM",,"2024-12-17 12:29:36","2025-04-28 00:00:00"
1291,1239692,359565,,,,Arabic,"Integrity: We operate our business with the highest standards of ethics and honesty",False,False,False,False,Approved,,"Naser PM",,"2024-12-17 12:29:36","2025-04-28 00:00:00"
1291,1239692,359566,,,,English,"النزاهة: ندير أعمالنا بأعلى معايير",False,False,False,False,Approved,,"Naser PM",,"2024-12-17 12:29:36","2025-04-28 00:00:00"
1291,1239693,359567,,,,Arabic,"Innovation: We embrace creativity and seek new ideas to drive progress",False,False,False,False,Approved,,"Naser PM",,"2024-12-17 12:29:36","2025-04-28 00:00:00"
1291,1239693,359568,,,,English,"الابتكار: نحن نحتضن الإبداع",False,False,False,False,Approved,,"Naser PM",,"2024-12-17 12:29:36","2025-04-28 00:00:00"
1291,1239694,359569,,,,Arabic,"Customer Centricity: Our customers are at the heart of everything we do",False,False,False,False,Approved,,"Naser PM",,"2024-12-17 12:29:36","2025-04-28 00:00:00"
1291,1239694,359570,,,,English,"التركيز على العملاء: عملاؤنا هم في قلب",False,False,False,False,Approved,,"Naser PM",,"2024-12-17 12:29:36","2025-04-28 00:00:00"
1291,1239695,359571,,,,Arabic,"Respect: we value diversity and treat everyone with dignity and respect",False,False,False,False,Approved,,"Naser PM",,"2024-12-17 12:29:36","2025-04-28 00:00:00"
1291,1239695,359572,,,,English,"الاحترام: نحن نقدر التنوع",False,False,False,False,Approved,,"Naser PM",,"2024-12-17 12:29:36","2025-04-28 00:00:00"
1291,1239696,359573,,,,Arabic,"Services section",False,False,False,False,Approved,,"Naser PM",,"2024-12-17 12:29:36","2025-04-28 00:00:00"
1291,1239696,359574,,,,English,خدمات,False,False,False,False,Approved,,"Naser PM",,"2024-12-17 12:29:36","2025-04-28 00:00:00"
1291,1239697,359575,,,,Arabic,"We offer a wide range of services to meet the diverse needs of our customers",False,False,False,False,Approved,,"Naser PM",,"2024-12-17 12:29:36","2025-04-28 00:00:00"
1291,1239697,359576,,,,English,"نحن نقدم مجموعة واسعة",False,False,False,False,Approved,,"Naser PM",,"2024-12-17 12:29:36","2025-04-28 00:00:00"
1291,1239698,359577,,,,Arabic,"Consulting subsection",False,False,False,False,Approved,,"Naser PM",,"2024-12-17 12:29:36","2025-04-28 00:00:00"
1291,1239698,359578,,,,English,استشارات,False,False,False,False,Approved,,"Naser PM",,"2024-12-17 12:29:36","2025-04-28 00:00:00"
1291,1239699,359579,,,,Arabic,"Our consulting services provide expert advice and strategies to help you achieve your business goals",False,False,False,False,Approved,,"Naser PM",,"2024-12-17 12:29:36","2025-04-28 00:00:00"
1291,1239699,359580,,,,English,"توفر خدماتنا الاستشارية مشورة الخبراء",False,False,False,False,Approved,,"Naser PM",,"2024-12-17 12:29:36","2025-04-28 00:00:00"
1291,1239700,359581,,,,Arabic,"Implementation subsection",False,False,False,False,Approved,,"Naser PM",,"2024-12-17 12:29:36","2025-04-28 00:00:00"
1291,1239700,359582,,,,English,تنفيذ,False,False,False,False,Approved,,"Naser PM",,"2024-12-17 12:29:36","2025-04-28 00:00:00"
1291,1239701,359583,,,,Arabic,"Our delivery team ensures that your projects are executed flawlessly on time and within budget",False,False,False,False,Approved,,"Naser PM",,"2024-12-17 12:29:36","2025-04-28 00:00:00"
1291,1239701,359584,,,,English,"يضمن فريق التنفيذ لدينا تنفيذ مشاريعك",False,False,False,False,Approved,,"Naser PM",,"2024-12-17 12:29:36","2025-04-28 00:00:00"
1291,1239702,359585,,,,Arabic,"Nested tables section",False,False,False,False,Approved,,"Naser PM",,"2024-12-17 12:29:36","2025-04-28 00:00:00"
1291,1239702,359586,,,,English,"تفاصيل المشروع",False,False,False,False,Approved,,"Naser PM",,"2024-12-17 12:29:36","2025-04-28 00:00:00"
1291,1239703,359587,,,,Arabic,"Project Details",False,False,False,False,Approved,,"Naser PM",,"2024-12-17 12:29:36","2025-04-28 00:00:00"
1291,1239703,359588,,,,English,"تفاصيل المشروع",False,False,False,False,Approved,,"Naser PM",,"2024-12-17 12:29:36","2025-04-28 00:00:00"
1291,1239704,359589,,,,Arabic,"Main table",False,False,False,False,Approved,,"Naser PM",,"2024-12-17 12:29:36","2025-04-28 00:00:00"
1291,1239704,359590,,,,English,"Main table",False,False,False,False,Approved,,"Naser PM",,"2024-12-17 12:29:36","2025-04-28 00:00:00"
1291,1239705,359591,,,,Arabic,"Project Name",False,False,False,False,Approved,,"Naser PM",,"2024-12-17 12:29:36","2025-04-28 00:00:00"
1291,1239705,359592,,,,English,"اسم المشروع",False,False,False,False,Approved,,"Naser PM",,"2024-12-17 12:29:36","2025-04-28 00:00:00"
1291,1239706,359593,,,,Arabic,"Start Date",False,False,False,False,Approved,,"Naser PM",,"2024-12-17 12:29:36","2025-04-28 00:00:00"
1291,1239706,359594,,,,English,"تاريخ البدء",False,False,False,False,Approved,,"Naser PM",,"2024-12-17 12:29:36","2025-04-28 00:00:00"
